,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
14,0.04310448169708252,0.0015771873480015558,0.5865023374557495,0.014294845572093285,auto,30,5,"{'algorithm': 'auto', 'leaf_size': 30, 'p': 5}",0.3286549707602339,0.31812865497076026,0.3567251461988304,0.34385964912280703,0.3333333333333333,0.352046783625731,0.34269005847953216,0.3391812865497076,0.3216374269005848,0.33489461358313816,0.3371151923524659,0.011743921341414804,81
15,0.03840301036834717,0.0009137273546310244,0.1314019203186035,0.003175654738204709,auto,50,1,"{'algorithm': 'auto', 'leaf_size': 50, 'p': 1}",0.3695906432748538,0.3567251461988304,0.37543859649122807,0.35789473684210527,0.36374269005847953,0.3871345029239766,0.3684210526315789,0.3485380116959064,0.35555555555555557,0.3805620608899297,0.36636029965624445,0.011558914736376937,1
16,0.03880290985107422,0.00164792207150815,0.10850820541381836,0.005418037727351,auto,50,2,"{'algorithm': 'auto', 'leaf_size': 50, 'p': 2}",0.3391812865497076,0.3216374269005848,0.36023391812865496,0.34502923976608185,0.3321637426900585,0.3684210526315789,0.34035087719298246,0.3508771929824561,0.3321637426900585,0.3548009367681499,0.3444859416300313,0.013562435681195124,21
17,0.04120159149169922,0.0033697610224024516,0.963916826248169,0.0819704342242765,auto,50,3,"{'algorithm': 'auto', 'leaf_size': 50, 'p': 3}",0.34152046783625734,0.312280701754386,0.35789473684210527,0.34502923976608185,0.32514619883040935,0.36140350877192984,0.34269005847953216,0.33567251461988307,0.3286549707602339,0.3559718969555035,0.34062642946163224,0.014835034075868959,41
18,0.03812475204467773,0.0009436654514351069,0.8044077157974243,0.021104387124718352,auto,50,4,"{'algorithm': 'auto', 'leaf_size': 50, 'p': 4}",0.33801169590643276,0.31812865497076026,0.35555555555555557,0.3368421052631579,0.3286549707602339,0.3567251461988304,0.3473684210526316,0.33567251461988307,0.3309941520467836,0.3477751756440281,0.33957283920182973,0.011642386554705569,61
19,0.03812205791473389,0.0006917222030255671,0.767205810546875,0.01971624814432487,auto,50,5,"{'algorithm': 'auto', 'leaf_size': 50, 'p': 5}",0.3286549707602339,0.31812865497076026,0.3567251461988304,0.34385964912280703,0.3333333333333333,0.352046783625731,0.34269005847953216,0.3391812865497076,0.3216374269005848,0.33489461358313816,0.3371151923524659,0.011743921341414804,81
20,0.035707521438598636,0.003070894367669161,0.14791519641876222,0.009586741522647291,auto,100,1,"{'algorithm': 'auto', 'leaf_size': 100, 'p': 1}",0.3695906432748538,0.3567251461988304,0.37543859649122807,0.35789473684210527,0.36374269005847953,0.3871345029239766,0.3684210526315789,0.3485380116959064,0.35555555555555557,0.3805620608899297,0.36636029965624445,0.011558914736376937,1
21,0.03560652732849121,0.001620687189169678,0.1090963363647461,0.0029933231122022804,auto,100,2,"{'algorithm': 'auto', 'leaf_size': 100, 'p': 2}",0.3391812865497076,0.3216374269005848,0.36023391812865496,0.34502923976608185,0.3321637426900585,0.3684210526315789,0.34035087719298246,0.3508771929824561,0.3321637426900585,0.3548009367681499,0.3444859416300313,0.013562435681195124,21
22,0.03562777042388916,0.002965223962775711,1.1878945112228394,0.05843720331637521,auto,100,3,"{'algorithm': 'auto', 'leaf_size': 100, 'p': 3}",0.34152046783625734,0.312280701754386,0.35789473684210527,0.34502923976608185,0.32514619883040935,0.36140350877192984,0.34269005847953216,0.33567251461988307,0.3286549707602339,0.3559718969555035,0.34062642946163224,0.014835034075868959,41
23,0.034810757637023924,0.0017149593389317922,1.0743042945861816,0.03375382992454345,auto,100,4,"{'algorithm': 'auto', 'leaf_size': 100, 'p': 4}",0.33801169590643276,0.31812865497076026,0.35555555555555557,0.3368421052631579,0.3286549707602339,0.3567251461988304,0.3473684210526316,0.33567251461988307,0.3309941520467836,0.3477751756440281,0.33957283920182973,0.011642386554705569,61
24,0.03581416606903076,0.002309175186368009,1.0566959381103516,0.055492681982335555,auto,100,5,"{'algorithm': 'auto', 'leaf_size': 100, 'p': 5}",0.3286549707602339,0.31812865497076026,0.3567251461988304,0.34385964912280703,0.3333333333333333,0.352046783625731,0.34269005847953216,0.3391812865497076,0.3216374269005848,0.33489461358313816,0.3371151923524659,0.011743921341414804,81
25,0.04180977344512939,0.0011745432973104093,0.19429702758789064,0.014514181849861847,ball_tree,5,1,"{'algorithm': 'ball_tree', 'leaf_size': 5, 'p': 1}",0.3695906432748538,0.3567251461988304,0.37543859649122807,0.35789473684210527,0.36374269005847953,0.3871345029239766,0.3684210526315789,0.3485380116959064,0.35555555555555557,0.3805620608899297,0.36636029965624445,0.011558914736376937,1
26,0.03302114009857178,0.0007785492464378694,0.19018592834472656,0.0038663254691014954,ball_tree,5,2,"{'algorithm': 'ball_tree', 'leaf_size': 5, 'p': 2}",0.3391812865497076,0.3216374269005848,0.36023391812865496,0.34502923976608185,0.3321637426900585,0.3684210526315789,0.34035087719298246,0.3508771929824561,0.3321637426900585,0.3548009367681499,0.3444859416300313,0.013562435681195124,21
27,0.08122434616088867,0.0011550822367551404,3.0847914934158327,0.032217541877378866,ball_tree,5,3,"{'algorithm': 'ball_tree', 'leaf_size': 5, 'p': 3}",0.34152046783625734,0.312280701754386,0.35789473684210527,0.34502923976608185,0.32514619883040935,0.36140350877192984,0.34269005847953216,0.33567251461988307,0.3286549707602339,0.3559718969555035,0.34062642946163224,0.014835034075868959,41
28,0.08390581607818604,0.004362798633785585,3.161604952812195,0.170565859838995,ball_tree,5,4,"{'algorithm': 'ball_tree', 'leaf_size': 5, 'p': 4}",0.33801169590643276,0.31812865497076026,0.35555555555555557,0.3368421052631579,0.3286549707602339,0.3567251461988304,0.3473684210526316,0.33567251461988307,0.3309941520467836,0.3477751756440281,0.33957283920182973,0.011642386554705569,61
29,0.08460564613342285,0.004286980736038122,3.032396173477173,0.041486286119264464,ball_tree,5,5,"{'algorithm': 'ball_tree', 'leaf_size': 5, 'p': 5}",0.3286549707602339,0.31812865497076026,0.3567251461988304,0.34385964912280703,0.3333333333333333,0.352046783625731,0.34269005847953216,0.3391812865497076,0.3216374269005848,0.33489461358313816,0.3371151923524659,0.011743921341414804,81
30,0.031914043426513675,0.001797852503723385,0.16400430202484131,0.004223350348866194,ball_tree,10,1,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'p': 1}",0.3695906432748538,0.3567251461988304,0.37543859649122807,0.35789473684210527,0.36374269005847953,0.3871345029239766,0.3684210526315789,0.3485380116959064,0.35555555555555557,0.3805620608899297,0.36636029965624445,0.011558914736376937,1
31,0.0309967041015625,0.0007660807833481477,0.18400778770446777,0.0028937409458561166,ball_tree,10,2,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'p': 2}",0.3391812865497076,0.3216374269005848,0.36023391812865496,0.34502923976608185,0.3321637426900585,0.3684210526315789,0.34035087719298246,0.3508771929824561,0.3321637426900585,0.3548009367681499,0.3444859416300313,0.013562435681195124,21
32,0.07631373405456543,0.0032335711417091828,3.148306107521057,0.1592087416448908,ball_tree,10,3,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'p': 3}",0.34152046783625734,0.312280701754386,0.35789473684210527,0.34502923976608185,0.32514619883040935,0.36140350877192984,0.34269005847953216,0.33567251461988307,0.3286549707602339,0.3559718969555035,0.34062642946163224,0.014835034075868959,41
33,0.07501335144042968,0.00119496419724095,3.0435007333755495,0.09916017839239592,ball_tree,10,4,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'p': 4}",0.33801169590643276,0.31812865497076026,0.35555555555555557,0.3368421052631579,0.3286549707602339,0.3567251461988304,0.3473684210526316,0.33567251461988307,0.3309941520467836,0.3477751756440281,0.33957283920182973,0.011642386554705569,61
34,0.07621068954467773,0.003223559868863334,3.0287003755569457,0.15604139859007082,ball_tree,10,5,"{'algorithm': 'ball_tree', 'leaf_size': 10, 'p': 5}",0.3286549707602339,0.31812865497076026,0.3567251461988304,0.34385964912280703,0.3333333333333333,0.352046783625731,0.34269005847953216,0.3391812865497076,0.3216374269005848,0.33489461358313816,0.3371151923524659,0.011743921341414804,81
35,0.029502248764038085,0.0020188612278013423,0.17061007022857666,0.0027270472269180276,ball_tree,30,1,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'p': 1}",0.3695906432748538,0.3567251461988304,0.37543859649122807,0.35789473684210527,0.36374269005847953,0.3871345029239766,0.3684210526315789,0.3485380116959064,0.35555555555555557,0.3805620608899297,0.36636029965624445,0.011558914736376937,1
