,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
10,1.1772050380706787,0.07563854657130309,0.03489620685577392,0.009918397551574707,True,gini,20,80,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 80}",0.5029239766081871,0.504093567251462,0.5052631578947369,0.5052631578947369,0.4935672514619883,0.5087719298245614,0.4888888888888889,0.5099415204678363,0.4982456140350877,0.5105386416861827,0.5027497706013667,0.006781258549382498,16
11,1.8760040521621704,0.15200215436841177,0.04791567325592041,0.008982607107010284,True,gini,20,130,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 130}",0.4982456140350877,0.49707602339181284,0.512280701754386,0.5064327485380117,0.49707602339181284,0.5134502923976608,0.49122807017543857,0.5157894736842106,0.5087719298245614,0.5199063231850117,0.5060257200377996,0.00910852936189798,12
12,0.1039900541305542,0.006478184811762866,0.00601654052734375,1.852001392195376e-05,True,entropy,1,30,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 30}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
13,0.3139028549194336,0.04410963094423413,0.013509249687194825,0.002658728913744967,True,entropy,1,80,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 80}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
14,0.5591881275177002,0.05212737297285176,0.0252025842666626,0.006200705423657579,True,entropy,1,130,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 130}",0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.38362573099415204,0.3847953216374269,0.3847953216374269,0.38362573099415204,0.3840749414519906,0.3839045701685909,0.00046477540049861947,37
15,0.361820912361145,0.012747051337230463,0.00890047550201416,0.002774966993254861,True,entropy,5,30,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 30}",0.4830409356725146,0.4818713450292398,0.49122807017543857,0.47134502923976607,0.49239766081871345,0.47719298245614034,0.47485380116959064,0.4760233918128655,0.47251461988304094,0.4964871194379391,0.4816954955695249,0.008465898579860557,33
16,0.9982339382171631,0.100872858813762,0.019189214706420897,0.003318192344176484,True,entropy,5,80,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 80}",0.47251461988304094,0.4760233918128655,0.48771929824561405,0.47251461988304094,0.49239766081871345,0.4842105263157895,0.47251461988304094,0.4982456140350877,0.4818713450292398,0.4918032786885246,0.48298149745949576,0.00895406461179321,31
17,1.608719539642334,0.17060367461341716,0.02808408737182617,0.005585982749076506,True,entropy,5,130,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 130}",0.47485380116959064,0.4865497076023392,0.49239766081871345,0.47719298245614034,0.4935672514619883,0.4842105263157895,0.47134502923976607,0.495906432748538,0.4830409356725146,0.4894613583138173,0.48485256857991976,0.007899213326384222,30
18,0.5525131464004517,0.015238016207999906,0.009794020652770996,0.0015217326704030846,True,entropy,10,30,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 30}",0.5099415204678363,0.4994152046783626,0.5064327485380117,0.49707602339181284,0.5076023391812865,0.5087719298245614,0.5029239766081871,0.5052631578947369,0.5111111111111111,0.5140515222482436,0.5062589533944151,0.004992550285429227,11
19,1.4511298894882203,0.058436894362472284,0.021891212463378905,0.0013760830978591218,True,entropy,10,80,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 80}",0.512280701754386,0.504093567251462,0.519298245614035,0.48771929824561405,0.5064327485380117,0.5157894736842106,0.5029239766081871,0.5263157894736842,0.5052631578947369,0.5128805620608899,0.5092997521125218,0.010056464647549983,7
